Titre,État,Région,Site,Description,Date,Support,Affiliation religieuse,Lieu de conservation,Auteur
ASOK_UTT059a,Uttar Pradesh,Uttar Pradesh,Kauśambī,,1 A.D.,Portail ; architrave,bouddhisme,Allahabad Municipal Museum,Maronet Léa
ASOK_UTT031b,Uttar Pradesh,Mathurā,Vrindavan,Bodhisattva assis,1 A.D. ; 2 A.D.,Sculpture en ronde-bosse,bouddhisme,Mathura Government Museum,Maronet Léa
ASOK_UTT031a,Uttar Pradesh,Mathurā,Vrindavan,Bodhisattva assis,1 A.D. ; 2 A.D.,Sculpture en ronde-bosse,bouddhisme,Mathura Government Museum,Maronet Léa
ASOK_UTT026,Uttar Pradesh,Mathurā,Govindnāgar,Balustrade avec médaillons et demi-médaillons,1 A.D. ; 2 A.D.,Balustrade ; pilier,indéterminée,Mathura Government Museum,Maronet Léa
ASOK_UTT014,Uttar Pradesh,Mathurā,Govindnāgar,Balustrade avec médaillons et demi-médaillons,1 A.D. ; 2 A.D.,Balustrade ; pilier,indéterminée,Mathura Government Museum,Maronet Léa
ASOK_UTT011,Uttar Pradesh,Mathurā,Govindnāgar,Balustrade avec médaillons et demi-médaillons,1 A.D. ; 2 A.D.,Balustrade ; pilier,indéterminée,Mathura Government Museum,Maronet Léa
ASOK_UTT006a,Uttar Pradesh,Mathurā,Jamalpur,Pilier de balustrade,1 A.D. ; 2 A.D.,Balustrade ; pilier,indéterminée,Lucknow State Museum,Maronet Léa
ASOK_UTT005,Uttar Pradesh,Mathurā,Jamalpur,Balustrade avec médaillons lotiformes,1 A.D. ; 2 A.D.,Balustrade ; pilier,indéterminée,Lucknow State Museum,Maronet Léa
ASOK_UTT003,Uttar Pradesh,Mathurā,Jamalpur,Balustrade avec médaillons lotiformes,1 A.D. ; 2 A.D.,Balustrade ; pilier,indéterminée,Lucknow State Museum,Maronet Léa
ASOK_UDA072,Odhisa,Kaliṅga,Udayagiri,Combat entre un homme et un éléphant,2 B.C. ; 1 B.C. ; 1 A.D.,Grotte 1,jaïnisme,In situ,Maronet Léa
ASOK_UDA069,Odhisa,Kaliṅga,Udayagiri,Animaux ailés,2 B.C. ; 1 B.C. ; 1 A.D.,Grotte 1,jaïnisme,In situ,Maronet Léa
ASOK_UDA064,Odhisa,Kaliṅga,Udayagiri,Dessus de porte et frise ; scène de bataille,2 B.C. ; 1 B.C. ; 1 A.D.,Grotte 1,jaïnisme,In situ,Maronet Léa
ASOK_UDA023a,Odhisa,Kaliṅga,Udayagiri,Dessus de porte,2 B.C. ; 1 B.C. ; 1 A.D.,Grotte,jaïnisme,In situ,Maronet Léa
ASOK_UDA001c,Odhisa,Kaliṅga,Udayagiri,Scène avec une armée,2 B.C. ; 1 B.C. ; 1 A.D.,Grotte 10 ; tympan,jaïnisme,In situ,Maronet Léa
