Nom_masque,Motif,Polygone,Confiance,Nom_image,Titre,État,Région,Site,Description,Date,Support,Affiliation religieuse,Lieu de conservation,Auteur
ASOK_AND003_lion_13.png,lion,"[[243, 2456], [335, 2548], [318, 2632], [402, 2750], [511, 2750], [637, 2666], [721, 2607], [830, 2649], [1140, 2674], [1308, 2616], [1417, 2616], [1685, 2574], [1887, 2456], [1945, 2507], [2163, 2691], [2080, 2884], [2180, 2892], [2306, 2876], [2432, 2892], [2608, 2842], [2658, 2750], [2558, 2590], [2566, 2423], [2529, 2064], [2327, 1914], [2191, 1835], [2029, 1819], [1882, 1851], [1731, 1923], [1610, 1861], [1635, 1760], [1618, 1584], [1467, 1441], [1266, 1467], [1199, 1509], [1090, 1349], [939, 1249], [645, 1366], [545, 1433], [461, 1609], [411, 1752], [461, 1819], [612, 1894], [763, 1928], [721, 2045], [587, 2045], [461, 2079], [335, 2238], [251, 2347], [243, 2456]]",0.98,ASOK_AND003.JPG,ASOK_AND003,Andhra Pradesh,Āndhradeśa,Dupāḍu,Animaux ailés,1 A.D.,Stūpa ; frise,bouddhisme,Amaravati Heritage Centre and Museum,Maronet Léa
ASOK_NAG002b_lotus_69.png,lotus,"[[182, 671], [184, 680], [1035, 680], [1035, 668], [1042, 428], [1007, 351], [928, 257], [874, 208], [756, 145], [637, 123], [534, 122], [431, 164], [328, 225], [218, 340], [186, 424], [187, 522], [182, 671]]",0.99,ASOK_NAG002b.jpg,ASOK_NAG002b,Andhra Pradesh,Āndhradeśa,Nāgārjunakoṇḍa,Demi-médaillon lotiforme et lion,3 A.D.,Pilier,bouddhisme,In situ,Maronet Léa
ASOK_NAG002b_lion_72.png,lion,"[[316, 802], [326, 806], [325, 815], [338, 841], [364, 848], [380, 849], [392, 855], [402, 843], [426, 825], [428, 833], [424, 866], [438, 888], [411, 888], [379, 894], [340, 909], [340, 939], [355, 947], [376, 951], [405, 955], [415, 941], [440, 948], [462, 941], [472, 944], [495, 947], [567, 949], [573, 944], [601, 947], [657, 944], [682, 931], [697, 926], [696, 943], [708, 945], [746, 944], [777, 941], [798, 936], [822, 936], [856, 943], [887, 937], [895, 916], [915, 914], [933, 885], [928, 833], [911, 801], [889, 783], [849, 753], [809, 738], [780, 744], [739, 769], [663, 809], [603, 820], [562, 810], [551, 787], [534, 752], [514, 726], [479, 702], [428, 696], [386, 700], [364, 719], [349, 739], [318, 776], [316, 802]]",0.97,ASOK_NAG002b.jpg,ASOK_NAG002b,Andhra Pradesh,Āndhradeśa,Nāgārjunakoṇḍa,Demi-médaillon lotiforme et lion,3 A.D.,Pilier,bouddhisme,In situ,Maronet Léa
ASOK_AND002_lotus_109.png,lotus,"[[1368, 708], [1382, 819], [1433, 897], [1490, 946], [1570, 979], [1659, 995], [1751, 975], [1839, 959], [1922, 904], [1940, 841], [1979, 750], [1968, 659], [1368, 708]]",0.99,ASOK_AND002.JPG,ASOK_AND002,Andhra Pradesh,Āndhradeśa,Dupāḍu,Portail avec cheval et médaillons lotiformes,1 A.D.,Stūpa ; frise,bouddhisme,Amaravati Heritage Centre and Museum,Maronet Léa
ASOK_AND002_lotus_110.png,lotus,"[[1358, 2966], [1376, 3139], [2016, 3148], [2026, 3034], [1948, 2812], [1798, 2712], [1608, 2707], [1439, 2802], [1358, 2966]]",0.99,ASOK_AND002.JPG,ASOK_AND002,Andhra Pradesh,Āndhradeśa,Dupāḍu,Portail avec cheval et médaillons lotiformes,1 A.D.,Stūpa ; frise,bouddhisme,Amaravati Heritage Centre and Museum,Maronet Léa
ASOK_AMA072_lotus_123.png,lotus,"[[193, 943], [198, 947], [204, 948], [207, 953], [206, 962], [211, 963], [221, 962], [231, 959], [238, 952], [238, 941], [236, 933], [232, 924], [225, 920], [216, 920], [205, 922], [196, 931], [193, 943]]",1.0,ASOK_AMA072.jpg,ASOK_AMA072,Andhra Pradesh,Āndhradeśa,Amarāvatī,Stūpa figuré ; Buddha entourré de dévots et piliers avec lions,1 A.D. ; 2 A.D. ; 3 A.D.,Stūpa ; panneau,bouddhisme,The British Museum,Maronet Léa
ASOK_AMA072_lotus_152.png,lotus,"[[202, 984], [202, 996], [207, 1005], [210, 1009], [219, 1010], [228, 1008], [232, 1006], [238, 1003], [240, 1000], [243, 992], [242, 981], [237, 974], [233, 969], [219, 968], [214, 969], [206, 975], [202, 984]]",0.98,ASOK_AMA072.jpg,ASOK_AMA072,Andhra Pradesh,Āndhradeśa,Amarāvatī,Stūpa figuré ; Buddha entourré de dévots et piliers avec lions,1 A.D. ; 2 A.D. ; 3 A.D.,Stūpa ; panneau,bouddhisme,The British Museum,Maronet Léa
ASOK_AND002_lotus_161.png,lotus,"[[1358, 1885], [1404, 2006], [1526, 2084], [1613, 2095], [1713, 2091], [1811, 2071], [1886, 2047], [1953, 1922], [1993, 1806], [1980, 1686], [1939, 1618], [1879, 1549], [1819, 1495], [1735, 1477], [1631, 1471], [1542, 1491], [1432, 1571], [1367, 1694], [1358, 1885]]",0.98,ASOK_AND002.JPG,ASOK_AND002,Andhra Pradesh,Āndhradeśa,Dupāḍu,Portail avec cheval et médaillons lotiformes,1 A.D.,Stūpa ; frise,bouddhisme,Amaravati Heritage Centre and Museum,Maronet Léa
ASOK_AND002_cheval_162.png,cheval,"[[2135, 2580], [2148, 2762], [2226, 2780], [2257, 2739], [2335, 2648], [2339, 2589], [2366, 2498], [2421, 2516], [2466, 2562], [2480, 2930], [2398, 3025], [2407, 3125], [2503, 3143], [2634, 3093], [2689, 2998], [2612, 2807], [2634, 2662], [2694, 2671], [2889, 2684], [2934, 2653], [2957, 2789], [2903, 2875], [2848, 2989], [2821, 3080], [2830, 3161], [2907, 3166], [2980, 3116], [3053, 3057], [3075, 3002], [3053, 2912], [3112, 2821], [3166, 2657], [3239, 2725], [3284, 2812], [3284, 2921], [3252, 2975], [3243, 3075], [3289, 3157], [3384, 3121], [3430, 3016], [3462, 2921], [3371, 2730], [3389, 2653], [3402, 2512], [3462, 2503], [3452, 2584], [3416, 2680], [3407, 2780], [3439, 2839], [3489, 2748], [3521, 2589], [3507, 2466], [3448, 2380], [3389, 2348], [3343, 2284], [3257, 2271], [3084, 2271], [2939, 2275], [2816, 2207], [2780, 2135], [2794, 2053], [2884, 2012], [2953, 1944], [2943, 1862], [2934, 1739], [2916, 1657], [2834, 1657], [2825, 1721], [2853, 1826], [2853, 1903], [2780, 1925], [2712, 1885], [2680, 1826], [2616, 1785], [2530, 1753], [2394, 1712], [2412, 1794], [2353, 1757], [2312, 1762], [2307, 1875], [2262, 1939], [2221, 2098], [2244, 2175], [2285, 2180], [2380, 2171], [2439, 2157], [2403, 2275], [2375, 2371], [2330, 2362], [2262, 2348], [2216, 2407], [2185, 2548], [2135, 2580]]",1.0,ASOK_AND002.JPG,ASOK_AND002,Andhra Pradesh,Āndhradeśa,Dupāḍu,Portail avec cheval et médaillons lotiformes,1 A.D.,Stūpa ; frise,bouddhisme,Amaravati Heritage Centre and Museum,Maronet Léa
ASOK_AND002_lotus_163.png,lotus,"[[3761, 649], [3780, 758], [3825, 844], [3889, 917], [4002, 953], [4098, 967], [4211, 958], [4289, 912], [4352, 826], [4379, 762], [4393, 635], [4384, 599], [3761, 649]]",0.97,ASOK_AND002.JPG,ASOK_AND002,Andhra Pradesh,Āndhradeśa,Dupāḍu,Portail avec cheval et médaillons lotiformes,1 A.D.,Stūpa ; frise,bouddhisme,Amaravati Heritage Centre and Museum,Maronet Léa
